concept_id,category,data_value,gest_value
41042757,CONTRA,0,
41042801,CONTRA,0,
41042802,CONTRA,0,
41042803,CONTRA,0,
41042804,CONTRA,0,
41042805,CONTRA,0,
41042806,CONTRA,0,
41043134,CONTRA,0,
41043135,CONTRA,0,
41043136,CONTRA,0,
41043137,CONTRA,0,
41043138,CONTRA,0,
41043139,CONTRA,0,
41043140,CONTRA,0,
41043141,CONTRA,0,
41043142,CONTRA,0,
41043143,CONTRA,0,
41044845,CONTRA,0,
41044981,CONTRA,0,
41046615,CONTRA,0,
41046808,CONTRA,0,
41046810,CONTRA,0,
41046839,CONTRA,0,
41047408,CONTRA,0,
41047409,CONTRA,0,
41047410,CONTRA,0,
41047423,CONTRA,0,
41047504,CONTRA,0,
41047510,CONTRA,0,
41047511,CONTRA,0,
41047657,CONTRA,0,
41047658,CONTRA,0,
41047659,CONTRA,0,
41047660,CONTRA,0,
41047878,CONTRA,0,
41048670,CONTRA,0,
41048671,CONTRA,0,
41048918,CONTRA,0,
41050096,CONTRA,0,
41050097,CONTRA,0,
41050098,CONTRA,0,
41050162,CONTRA,0,
41050594,CONTRA,0,
41050595,CONTRA,0,
41050596,CONTRA,0,
41050597,CONTRA,0,
41050598,CONTRA,0,
41050599,CONTRA,0,
41050600,CONTRA,0,
41050601,CONTRA,0,
41050603,CONTRA,0,
41050677,CONTRA,0,
41050678,CONTRA,0,
41050679,CONTRA,0,
41050747,CONTRA,0,
41050802,CONTRA,0,
4318553,POST,0,
192694,LDEL,0,
138811,POST,0,
3025866,DIAB,0,
195025,DELIV,0,
4328870,POST,0,
438481,DELIV,0,
435879,DELIV,0,
444245,PCOMP,0,
73538,DELIV,0,
21177859,CONTRA,0,
21177861,CONTRA,0,
21177865,CONTRA,0,
21177879,CONTRA,0,
21177885,CONTRA,0,
21177887,CONTRA,0,
21177889,CONTRA,0,
21177890,CONTRA,0,
21177891,CONTRA,0,
21177893,CONTRA,0,
21177898,CONTRA,0,
21177913,CONTRA,0,
21177920,CONTRA,0,
21177922,CONTRA,0,
21177924,CONTRA,0,
21177930,CONTRA,0,
21177931,CONTRA,0,
21177932,CONTRA,0,
21177937,CONTRA,0,
21177939,CONTRA,0,
21177940,CONTRA,0,
21177941,CONTRA,0,
40162216,CONTRA,0,
40162217,CONTRA,0,
40163796,CONTRA,0,
40163809,CONTRA,0,
40163810,CONTRA,0,
40164959,CONTRA,0,
40164960,CONTRA,0,
40164961,CONTRA,0,
40164962,CONTRA,0,
40164963,CONTRA,0,
40164964,CONTRA,0,
40164965,CONTRA,0,
40164966,CONTRA,0,
40164967,CONTRA,0,
40164968,CONTRA,0,
40164969,CONTRA,0,
40164970,CONTRA,0,
40164971,CONTRA,0,
40164972,CONTRA,0,
40164973,CONTRA,0,
40164974,CONTRA,0,
40164975,CONTRA,0,
40164976,CONTRA,0,
40165031,CONTRA,0,
40165032,CONTRA,0,
40165033,CONTRA,0,
40168757,CONTRA,0,
40168758,CONTRA,0,
40168780,CONTRA,0,
40168781,CONTRA,0,
40172848,CONTRA,0,
40175962,CONTRA,0,
40220771,CONTRA,0,
40220772,CONTRA,0,
40220773,CONTRA,0,
40220774,CONTRA,0,
40221097,CONTRA,0,
40221098,CONTRA,0,
40221101,CONTRA,0,
40221102,CONTRA,0,
40221144,CONTRA,0,
40221145,CONTRA,0,
40221146,CONTRA,0,
40221409,CONTRA,0,
40223052,CONTRA,0,
40224108,CONTRA,0,
40224109,CONTRA,0,
40224132,CONTRA,0,
40224133,CONTRA,0,
40224654,CONTRA,0,
40224655,CONTRA,0,
40224656,CONTRA,0,
40224657,CONTRA,0,
40224753,CONTRA,0,
40224754,CONTRA,0,
40224755,CONTRA,0,
40224756,CONTRA,0,
40224787,CONTRA,0,
40224788,CONTRA,0,
40224789,CONTRA,0,
40224790,CONTRA,0,
40224791,CONTRA,0,
40224792,CONTRA,0,
40224793,CONTRA,0,
40224794,CONTRA,0,
40224795,CONTRA,0,
40224796,CONTRA,0,
40224797,CONTRA,0,
40224798,CONTRA,0,
40224799,CONTRA,0,
40224800,CONTRA,0,
40224801,CONTRA,0,
40224802,CONTRA,0,
40224803,CONTRA,0,
40224804,CONTRA,0,
40224805,CONTRA,0,
40224806,CONTRA,0,
36892735,OVULDR,0,
4016052,POST,0,
2514574,AGP,0,
21050651,CONTRA,0,
21050652,CONTRA,0,
21050653,CONTRA,0,
21050654,CONTRA,0,
21050655,CONTRA,0,
21050657,CONTRA,0,
21050658,CONTRA,0,
21050663,CONTRA,0,
21050664,CONTRA,0,
21050665,CONTRA,0,
21050666,CONTRA,0,
21050667,CONTRA,0,
21050668,CONTRA,0,
21050669,CONTRA,0,
21050670,CONTRA,0,
21050672,CONTRA,0,
21050673,CONTRA,0,
21050674,CONTRA,0,
21050675,CONTRA,0,
21050676,CONTRA,0,
21050677,CONTRA,0,
21050678,CONTRA,0,
21050891,CONTRA,0,
21050892,CONTRA,0,
21052631,CONTRA,0,
21052632,CONTRA,0,
21055559,CONTRA,0,
21055560,CONTRA,0,
21055591,CONTRA,0,
21057429,CONTRA,0,
21057430,CONTRA,0,
21057646,CONTRA,0,
21058715,CONTRA,0,
21058716,CONTRA,0,
21058718,CONTRA,0,
21058719,CONTRA,0,
21060416,CONTRA,0,
21060417,CONTRA,0,
21060418,CONTRA,0,
21060419,CONTRA,0,
21060420,CONTRA,0,
21060421,CONTRA,0,
21060422,CONTRA,0,
21060423,CONTRA,0,
21060424,CONTRA,0,
21060425,CONTRA,0,
21060426,CONTRA,0,
21060427,CONTRA,0,
21060428,CONTRA,0,
21060429,CONTRA,0,
21060430,CONTRA,0,
21060431,CONTRA,0,
21060432,CONTRA,0,
21060433,CONTRA,0,
21060434,CONTRA,0,
21060435,CONTRA,0,
21060436,CONTRA,0,
21060437,CONTRA,0,
21060438,CONTRA,0,
21060439,CONTRA,0,
21060440,CONTRA,0,
21060441,CONTRA,0,
21060442,CONTRA,0,
21060443,CONTRA,0,
21060444,CONTRA,0,
21060445,CONTRA,0,
21060446,CONTRA,0,
21060447,CONTRA,0,
21060448,CONTRA,0,
21060449,CONTRA,0,
21060450,CONTRA,0,
21060451,CONTRA,0,
21060452,CONTRA,0,
21060453,CONTRA,0,
21060454,CONTRA,0,
21060455,CONTRA,0,
21060456,CONTRA,0,
21060457,CONTRA,0,
21060462,CONTRA,0,
21060465,CONTRA,0,
21060466,CONTRA,0,
21060467,CONTRA,0,
21060468,CONTRA,0,
21060470,CONTRA,0,
21060471,CONTRA,0,
21060472,CONTRA,0,
21060473,CONTRA,0,
21060474,CONTRA,0,
21060475,CONTRA,0,
21060476,CONTRA,0,
21060477,CONTRA,0,
21060479,CONTRA,0,
21060480,CONTRA,0,
21060481,CONTRA,0,
21060482,CONTRA,0,
21060483,CONTRA,0,
21060484,CONTRA,0,
21060485,CONTRA,0,
41230991,CONTRA,0,
41230992,CONTRA,0,
41230993,CONTRA,0,
41230994,CONTRA,0,
41230995,CONTRA,0,
41230996,CONTRA,0,
43211129,CONTRA,0,
43211130,CONTRA,0,
43211131,CONTRA,0,
43211132,CONTRA,0,
43211133,CONTRA,0,
43211134,CONTRA,0,
43211135,CONTRA,0,
43211136,CONTRA,0,
43211137,CONTRA,0,
43211138,CONTRA,0,
43211139,CONTRA,0,
43211140,CONTRA,0,
43211141,CONTRA,0,
43211142,CONTRA,0,
43211143,CONTRA,0,
43211144,CONTRA,0,
43211145,CONTRA,0,
43211146,CONTRA,0,
43211147,CONTRA,0,
43211148,CONTRA,0,
43211149,CONTRA,0,
43211150,CONTRA,0,
43211151,CONTRA,0,
43211152,CONTRA,0,
43211153,CONTRA,0,
43211154,CONTRA,0,
43211155,CONTRA,0,
43211156,CONTRA,0,
43211158,CONTRA,0,
43211159,CONTRA,0,
43211160,CONTRA,0,
43211161,CONTRA,0,
43211162,CONTRA,0,
43211163,CONTRA,0,
43211165,CONTRA,0,
43211166,CONTRA,0,
43211167,CONTRA,0,
43211168,CONTRA,0,
43211169,CONTRA,0,
43211170,CONTRA,0,
43211171,CONTRA,0,
43211172,CONTRA,0,
43211173,CONTRA,0,
43211174,CONTRA,0,
43211175,CONTRA,0,
43211176,CONTRA,0,
43211177,CONTRA,0,
43211178,CONTRA,0,
43211179,CONTRA,0,
43211180,CONTRA,0,
43211181,CONTRA,0,
43211182,CONTRA,0,
43211183,CONTRA,0,
43211184,CONTRA,0,
43211185,CONTRA,0,
43211186,CONTRA,0,
43211187,CONTRA,0,
43211188,CONTRA,0,
43211189,CONTRA,0,
